name,start_unicode,end_unicode
Supplemental Symbols and Pictographs,1F900,1F9FF
Chess Symbols,1FA00,1FA6F
Symbols and Pictographs Extended-A,1FA70,1FAFF
Symbols for Legacy Computing,1FB00,1FBFF
CJK Unified Ideographs Extension B,20000,2A6DF
CJK Unified Ideographs Extension C,2A700,2B73F
CJK Unified Ideographs Extension D,2B740,2B81F
CJK Unified Ideographs Extension E,2B820,2CEAF
CJK Unified Ideographs Extension F,2CEB0,2EBEF
CJK Compatibility Ideographs Supplement,2F800,2FA1F
CJK Unified Ideographs Extension G,30000,3134F
Tags,E0000,E007F
Variation Selectors Supplement,E0100,E01EF
